UEI,Legal_Business_Name,DBA_Name,CAGE_Code,Registration_Status,Registration_Date,Expiration_Date,Last_Updated_Date,Purpose_of_Registration,Phys_Address_1,Phys_Address_2,Phys_City,Phys_State_Province,Phys_Zip,Phys_Country,Congressional_District,Mail_Address_1,Mail_City,Mail_State_Province,Mail_Zip,Mail_Country,Entity_Structure,Is_Small_Business,Is_Minority_Owned,Is_Women_Owned,Is_Veteran_Owned,Is_SDVOSB,Is_HUBZone,Is_8a_Program,Is_Non_Profit,Primary_NAICS_Code,Primary_NAICS_Description,Secondary_NAICS_Codes_List,PSC_Codes_List,Gov_Contact_Name,Gov_Contact_Email,Gov_Contact_Phone,EBiz_Contact_Name,EBiz_Contact_Email,EBiz_Contact_Phone,Has_Active_Exclusions,Exclusion_Type,Delinquent_Federal_Tax,Exec_Comp_1_Name,Exec_Comp_1_Amt
X7BYA4AXGJ28,FasQual Structures LLC,,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,5204 W 163rd St,,Stilwell,KS,66085,USA,,5204 W 163rd St,Stilwell,KS,66085,USA,Sole Proprietorship,N,N,N,N,N,N,N,N,,,None,,,,,John Braglia,,,N,,N,,
YBU7R3E8NK23,"NEW CREATION FARM, LLC",His Provisions,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,12126 CLARK RD,,CHARDON,OH,44024,USA,,6108 CR. 201,Millersburg,OH,44654,USA,Partnership or Limited Liability Partnership,Y,N,N,N,N,N,N,N,,,None,,,,,Scott Boehnlein,,,N,,N,,
U95WFYNFERH3,AZGARI FOUNDATION,,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,8 THE GRN STE R,,DOVER,DE,19901,USA,,10328 Ember Glen Dr,Austin,TX,78726,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,,,None,,,,,azgari lipshy,,,N,,N,,
G7TUAL72F656,BOTTINEAU COMMONS & LOFTS GP LLC,,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,233 PARK AVE STE 201,,MINNEAPOLIS,MN,55415,USA,,233 PARK AVE STE 201,MINNEAPOLIS,MN,55415,USA,Other,N,N,N,N,N,N,N,N,,,None,,,,,Christine Lenz,,,N,,N,,
G1TKV9YFK6T2,SIX SUPERIOR TRUCKING LLC,,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,1075 Avenue A,,Port Allen,LA,70767,USA,,1075 Avenue A,Port Allen,LA,70767,USA,Partnership or Limited Liability Partnership,Y,N,N,N,N,N,N,N,,,None,,,,,Sylicea Douglas,,,N,,N,,
P93HS2QA25U7,"RINEY DAIRY, LLC",,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,266 BLANDFORD RD,,SPRINGFIELD,KY,40069,USA,,266 BLANDFORD RD,SPRINGFIELD,KY,40069,USA,Partnership or Limited Liability Partnership,N,N,N,N,N,N,N,N,,,None,,,,,William Riney,,,N,,N,,
F69SL5S9MQT9,"VEYATIA, INC.",,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,61 Trowbridge Circuit,,Worcester,MA,01603,USA,,61 Trowbridge Circuit,Worcester,MA,01603,USA,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,,,None,,,,,Jean Paul Paulynice,,,N,,N,,
GU5MGT7B9ED7,Peggy Jo Schell,,,Active,2026-07-06,2027-07-06,2026-07-07,Federal Assistance Awards,530 MONTOUR BLVD,STE C,BLOOMSBURG,PA,17815,USA,,530 MONTOUR BLVD,BLOOMSBURG,PA,17815,USA,Sole Proprietorship,Y,N,N,N,N,N,N,N,,,None,,,,,Peggy Schell,,,N,,N,,
UH9EU8RQH1F8,THE ELECTION CENTER,NATIONAL ASSOCIATION OF ELECTION OFFICIALS,,Active,2026-07-06,2027-07-07,2026-07-07,Federal Assistance Awards,21946 ROYAL MONTREAL DR STE 100,,KATY,TX,77450,USA,,"403 W Grand Pkwy S, Ste F # 404",Katy,TX,77494,USA,Other,N,N,N,N,N,N,N,Y,,,None,,,,,Quynhnhi Estopinal,,,N,,N,,
UEBUFHTGYEN1,"PHOENIX RISING GROUP, LLC","PHOENIX RISING GROUP, LLC",,Active,2026-07-06,2027-07-06,2026-07-07,Federal Assistance Awards,2504 CORIAN GLEN DR,,SAN ANTONIO,TX,78219,USA,,2504 CORIAN GLEN DR,SAN ANTONIO,TX,78219,USA,Partnership or Limited Liability Partnership,Y,N,N,N,N,N,N,N,,,None,,,,,Darnelle Odom,,,N,,N,,
T73TTNG591T3,SOLUVISTA LLC,SOLUVISTA LLC,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,18212 E PETROLEUM DR,STE 2A,BATON ROUGE,LA,70809,USA,,18212 E PETROLEUM DR,BATON ROUGE,LA,70809,USA,Partnership or Limited Liability Partnership,N,N,N,N,N,N,N,N,,,None,,,,,Skip Sharrer,,,N,,N,,
L9BYFGMDZF44,F Fentanyl Inc,,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,13045 SW 107TH TER,,MIAMI,FL,33186,USA,,13045 SW 107TH TER,MIAMI,FL,33186,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,,,None,,,,,Thomas Guerra,,,N,,N,,
GA6FQZKJM8V1,"UNITED WAY OF NORTHEAST MISSISSIPPI, INC.",,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,454 E President Ave,,Tupelo,MS,38801,USA,,P.O. Box 334,Tupelo,MS,38802,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,,,None,,,,,Patti Parker,,,N,,N,,
K3LFADZKJ2K3,EMBRACE ALL LATINO VOICES,,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,3719 LATROBE DR STE 830,,CHARLOTTE,NC,28211,USA,,"7508 E. Independence Blvd, Suite 101",Charlotte,NC,28227,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,,,None,,,,,Heddy Patrick Alves Garcia,,,N,,N,,
J1EDPFHGU271,PARK PLACE MANOR LP,,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,3231 MERTIS AVE,,SHREVEPORT,LA,71109,USA,,3104 Breard Street,Monroe,LA,71201,USA,Partnership or Limited Liability Partnership,N,N,N,N,N,N,N,N,,,None,,,,,Jonah Jones,,,N,,N,,
TQD7AHUDL9M7,NEVERDUN FARMS,,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,875 SINGLETON LN,,SUMTER,SC,29154,USA,,875 SINGLETON LN,SUMTER,SC,29154,USA,Partnership or Limited Liability Partnership,Y,N,N,N,N,N,N,N,,,None,,,,,Adelia Singleton,,,N,,N,,
T79KRX9SDJ83,INDUNA TECHNOLOGY SOLUTIONS LLC,INDUNA TECHNOLOGY SOLUTIONS LLC,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,10105 LEXINGTON FARMS DR,,ALPHARETTA,GA,30004,USA,,10105 LEXINGTON FARMS DR,ALPHARETTA,GA,30004,USA,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,,,None,,,,,Bryson Sims,,,N,,N,,
TA3WHGMA1HG7,"CARROLL CHRISTIAN ACADEMY, INC.",CARROLL CHRISTIAN SCHOOLS,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,550 Baltimore Blvd,,Westminster,MD,21157,USA,,550 Baltimore Blvd,Westminster,MD,21157,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,,,None,,,,,Morgan Peterson,,,N,,N,,
N3DNH1WGZUE6,"GLOUCESTER VOLUNTEER FIRE AND RESCUE SQUAD, INC.",GLOUCESTER VOLUNTEER FIRE & RESCUE SQUAD INC,,Active,2026-07-06,2027-07-06,2026-07-07,Federal Assistance Awards,6595 MAIN ST,,GLOUCESTER,VA,23061,USA,,PO BOX 1417,Gloucester,VA,23061,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,,,None,,,,,BRIAN VANATTA,,,N,,N,,
M8UBTC2WZDM9,Machon Schneerson Chabad,,,Active,2026-07-06,2027-07-06,2026-07-07,Federal Assistance Awards,4326 Murray Ave,,Pittsburgh,PA,15217,USA,,4326 Murray Ave,Pittsburgh,PA,15217,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,,,None,,,,,Menachem Friedman,,,N,,N,,
E4ZGSEK9PLT6,"RAGTAG PET GROOMING, LLC",,,Active,2026-07-06,2027-07-06,2026-07-07,Federal Assistance Awards,376 Chandler St,,Worcester,MA,01602,USA,,233 Petersham Rd,Athol,MA,01331,USA,Partnership or Limited Liability Partnership,N,N,N,N,N,N,N,N,,,None,,,,,Victoria Allen,,,N,,N,,
UCYBBQ3AYAW6,ROOTED LENDING LLC,ROOTED LENDING,,Active,2026-07-06,2027-07-06,2026-07-07,Federal Assistance Awards,4539 N 22ND ST STE N,,PHOENIX,AZ,85016,USA,,4539 N 22ND ST STE N,PHOENIX,AZ,85016,USA,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,,,None,,,,,Stacy Leclair,,,N,,N,,
X3BUFFBL4A91,"HOLOCENE ACQUISITION CO, LLC",HOLOCENE DRILLING,,Active,2026-07-06,2027-07-06,2026-07-07,Federal Assistance Awards,11412 62nd Ave E,,Puyallup,WA,98373,USA,,11412 62nd Ave E,Puyallup,WA,98373,USA,Partnership or Limited Liability Partnership,Y,N,N,N,N,N,N,N,,,None,,,,,Christopher Fincke,,,N,,N,,
NAGSVJZHCPV7,"SEEDS OF CHANGE, LLC",,,Active,2026-07-06,2027-07-06,2026-07-07,Federal Assistance Awards,2217 Topside Rd,,Louisville,TN,37777,USA,,2217 Topside Rd,Louisville,TN,37777,USA,Sole Proprietorship,N,N,N,N,N,N,N,N,,,None,,,,,Ian Dovan,,,N,,N,,
U18XLMK5C527,JERMANTOWN CEMETERY PRESERVATION SOCIETY,,,Active,2026-07-06,2027-07-06,2026-07-07,Federal Assistance Awards,1045C MARGATE CT,,STERLING,VA,20164,USA,,14107 Compton Valley Way,Centreville,VA,20121,USA,Other,N,N,N,N,N,N,N,Y,,,None,,,,,Rondia Pearson-Prescott,,,N,,N,,
UG43KAL56T23,MISSOURI CENTER FOR EMPLOYEE OWNERSHIP INC,,,Active,2026-07-06,2027-07-06,2026-07-07,Federal Assistance Awards,5661 Telegraph Rd Ste 4B,,Saint Louis,MO,63129,USA,,3304 Coleman Rd,Kansas City,MO,64111,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,,,None,,,,,Missouri Ownership,,,N,,N,,
NR6WW56JK6A5,HEALTHNIX INC,,,Active,2026-07-06,2027-07-06,2026-07-07,Federal Assistance Awards,1414 E 51st St Unit 456,,Austin,TX,78723,USA,,1414 E 51st St Unit 456,Austin,TX,78723,USA,Corporate Entity (Not Tax Exempt),Y,N,N,N,N,N,N,N,,,None,,,,,Maja Mazur,,,N,,N,,
UCUJBJT43FG1,ESPWA GLOBAL FOUNDATION,,,Active,2026-07-06,2027-07-06,2026-07-07,Federal Assistance Awards,5463 Vineland Rd Apt 5303,,Orlando,FL,32811,USA,,5463 Vineland Rd Apt 5303,Orlando,FL,32811,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,,,None,,,,,Joseph Sejour,,,N,,N,,
G5ZBPAKNBB56,COLORADO ASSOCIATION OF TRANSIT AGENCIES,,,Active,2026-07-06,2027-07-06,2026-07-07,Federal Assistance Awards,600 N Grant St Ste 640,,Denver,CO,80203,USA,,600 N Grant St Ste 640,Denver,CO,80203,USA,Other,N,N,N,N,N,N,N,Y,,,None,,,,,Joseph Parks,,,N,,N,,
UDULUNFCCT45,SA MANAGEMENT LLC,,,Active,2026-07-06,2027-07-06,2026-07-07,Federal Assistance Awards,233 PARK AVE STE 201,,MINNEAPOLIS,MN,55415,USA,,233 PARK AVE STE 201,MINNEAPOLIS,MN,55415,USA,Other,N,N,N,N,N,N,N,N,,,None,,,,,Christine Lenz,,,N,,N,,
D4C9P6J4LJG5,BELLEVUE PLAZA APARTMENTS,,,Active,2026-07-06,2027-07-06,2026-07-07,Federal Assistance Awards,928 W STATE ST,,TRENTON,NJ,08618,USA,,928 West State Street,Trenton,NJ,08618,USA,Partnership or Limited Liability Partnership,N,N,N,N,N,N,N,N,,,None,,,,,Tony Capra,,,N,,N,,
UA9PZAUPDD92,OTU MEDICAL INC,,,Active,2026-07-06,2027-07-06,2026-07-07,Federal Assistance Awards,2847A WHIPPLE RD,,UNION CITY,CA,94587,USA,,2847A WHIPPLE RD,UNION CITY,CA,94587,USA,Corporate Entity (Not Tax Exempt),N,N,N,N,N,N,N,N,,,None,,,,,Paul Chau,,,N,,N,,
UCQ4W3Y4E2Q8,Kevin B. Bonilla Rodriguez,,,Active,2026-07-06,2027-07-06,2026-07-07,Federal Assistance Awards,Urb. Hnas Davila f5 calle 5,,Bayamon,PR,00959,USA,,Urb. Hnas Davila f5 calle 5,Bayamon,PR,00959,USA,Sole Proprietorship,N,N,N,N,N,N,N,N,,,None,,,,,Kevin Bonilla Rodriguez,,,N,,N,,
UD28VZTQ1QM3,COMMON AREA MAINTENANCE,,,Active,2026-07-06,2027-07-06,2026-07-07,Federal Assistance Awards,2125 2ND AVE,,SEATTLE,WA,98121,USA,,2125 2ND AVE,SEATTLE,WA,98121,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,,,None,,,,,Timothy Firth,,,N,,N,,
UF1EC21GHZK8,RENEW CHURCH - BATON ROUGE,RENEW CHURCH - BATON ROUGE,,Active,2026-07-06,2027-07-06,2026-07-07,Federal Assistance Awards,10915 FLORIDA BLVD,,BATON ROUGE,LA,70815,USA,,PO Box 45850,Baton Rouge,LA,70895,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,,,None,,,,,Christopher Williams,,,N,,N,,
SL4CYPB8KAR6,"CRISP CUSTOMS, LLC",,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,11850 Bold Venture Ave,,Canyon,TX,79015,USA,,11850 Bold Venture Ave,Canyon,TX,79015,USA,Other,Y,N,N,N,N,N,N,N,,,None,,,,,Kayla Crisp,,,N,,N,,
T4NDW8CR3W85,MOSIAH PRODUCTIONS LLC,MOSIAH PRODUCTIONS LLC,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,6930 RIVERDALE RD,,LANHAM,MD,20706,USA,,6930 RIVERDALE RD,LANHAM,MD,20706,USA,Sole Proprietorship,N,N,N,N,N,N,N,N,,,None,,,,,Oluremilekun Oriowo,,,N,,N,,
MDZ1CLL4F2T8,"KEMPTON FINANCIAL GRP, LLC","KEMPTON FINANCIAL GRP, LLC",,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,5322 LAND O LAKES BLVD,,LAND O LAKES,FL,34639,USA,,5322 LAND O LAKES BLVD,LAND O LAKES,FL,34639,USA,Corporate Entity (Not Tax Exempt),N,N,N,N,Y,N,N,N,,,None,,,,,Arthur KEMPTON III,,,N,,N,,
MM3PXM4QE1K3,VINEYARD CHURCH,VINEYARD BIBLE INSTITUTE NFP,,Active,2026-07-06,2027-07-06,2026-07-06,Federal Assistance Awards,1500 N LINCOLN AVE,,URBANA,IL,61801,USA,,1500 N LINCOLN AVE,URBANA,IL,61801,USA,Corporate Entity (Tax Exempt),N,N,N,N,N,N,N,Y,,,None,,,,,Tyler Alblinger,,,N,,N,,
JWSRGVFA7615,PICAVI.CO LIMITED,,,Active,2026-07-05,2027-07-05,2026-07-05,Federal Assistance Awards,"GG Building, Nanyuki, Laikipia East",,Nanyuki,,,KEN,,"GG Building, Nanyuki, Laikipia East",Nanyuki,,,KEN,Sole Proprietorship,N,N,N,N,N,N,N,N,,,None,,,,,George Tomlinson,,,N,,N,,
